序号	接口 & 描述
BiConsumer	代表了一个接受两个输入参数的操作，并且不返回任何结果
BiFunction	代表了一个接受两个输入参数的方法，并且返回一个结果
BinaryOperator	代表了一个作用于于两个同类型操作符的操作，并且返回了操作符同类型的结果
BiPredicate	代表了一个两个参数的 boolean 值方法
BooleanSupplier	代表了 boolean 值结果的提供方
Consumer	代表了接受一个输入参数并且无返回的操作
DoubleBinaryOperator	代表了作用于两个 double 值操作符的操作，并且返回了一个 double 值的结果。
DoubleConsumer	代表一个接受 double 值参数的操作，并且不返回结果。
DoubleFunction	代表接受一个 double 值参数的方法，并且返回结果
DoublePredicate	代表一个拥有 double 值参数的 boolean 值方法
DoubleSupplier	代表一个 double 值结构的提供方
DoubleToIntFunction	接受一个 double 类型输入，返回一个 int 类型结果。
DoubleToLongFunction	接受一个 double 类型输入，返回一个 long 类型结果
DoubleUnaryOperator	接受一个参数同为类型 double, 返回值类型也为 double 。
Function	接受一个输入参数，返回一个结果。
IntBinaryOperator	接受两个参数同为类型 int, 返回值类型也为 int 。
IntConsumer	接受一个 int 类型的输入参数，无返回值 。
IntFunction	接受一个 int 类型输入参数，返回一个结果 。
IntPredicate	接受一个 int 输入参数，返回一个布尔值的结果。
IntSupplier	无参数，返回一个 int 类型结果。
IntToDoubleFunction	接受一个 int 类型输入，返回一个 double 类型结果 。
IntToLongFunction	接受一个 int 类型输入，返回一个 long 类型结果。
IntUnaryOperator	接受一个参数同为类型 int, 返回值类型也为 int 。
LongBinaryOperator	接受两个参数同为类型 long, 返回值类型也为 long。
LongConsumer	接受一个 long 类型的输入参数，无返回值。
LongFunction	接受一个 long 类型输入参数，返回一个结果。
LongPredicate	接受一个 long 输入参数，返回一个布尔值类型结果。
LongSupplier	无参数，返回一个结果 long 类型的值。
LongToDoubleFunction	接受一个 long 类型输入，返回一个 double 类型结果。
LongToIntFunction	接受一个 long 类型输入，返回一个 int 类型结果。
LongUnaryOperator	接受一个参数同为类型 long, 返回值类型也为 long。
ObjDoubleConsumer	接受一个 object 类型和一个 double 类型的输入参数，无返回值。
ObjIntConsumer	接受一个 object 类型和一个 int 类型的输入参数，无返回值。
ObjLongConsumer	接受一个 object 类型和一个 long 类型的输入参数，无返回值。
Predicate	接受一个输入参数，返回一个布尔值结果。
Supplier	无参数，返回一个结果。
ToDoubleBiFunction	接受两个输入参数，返回一个 double 类型结果
ToDoubleFunction	接受一个输入参数，返回一个 double 类型结果
ToIntBiFunction	接受两个输入参数，返回一个 int 类型结果。
ToIntFunction	接受一个输入参数，返回一个 int 类型结果。
ToLongBiFunction	接受两个输入参数，返回一个 long 类型结果。
ToLongFunction	接受一个输入参数，返回一个 long 类型结果。
UnaryOperator	接受一个参数为类型 T, 返回值类型也为 T。
